NWA 2465 - H4 - 2D (µm),NWA 2465 - H4 - 3D - µ-CT (µm),Saratov - L4 - 2D (µm),Saratov - L4 - 3D (µm),NWA 7545 - LL4 - 2D (µm),NWA 7545 - LL4 - 3D (µm),NWA 2465 - H4 - 3D (µm)
355,,534,490,628,1064,415
355,,535,490,628,1065,415
356,,536,492,628,1065,416
356,,536,492,629,1066,416
356,,537,493,629,1072,417
357,,538,493,630,1076,417
357,,539,495,630,1081,417
357,,541,495,630,1083,417
358,,542,495,631,1083,418
358,,543,495,632,1088,419
359,,546,495,632,1094,421
359,,547,496,633,1138,421
359,,548,496,633,1148,422
359,,548,497,633,1170,422
359,,548,498,634,1177,422
360,,548,499,635,1180,422
360,,554,499,636,1191,423
362,,556,500,638,1193,423
362,,559,500,639,1194,424
363,,561,501,640,1197,424
363,,562,501,642,1202,424
364,,565,501,642,1205,424
364,,565,502,646,1213,424
365,,565,502,648,1227,426
365,,567,503,648,1229,426
367,,568,504,649,1230,427
368,,569,505,651,1233,428
369,,571,506,651,1237,430
369,,575,506,652,1237,430
369,,575,506,652,1239,431
371,,576,507,654,1250,431
371,,579,508,657,1251,434
371,,579,509,657,1271,435
372,,580,513,658,1275,435
373,,581,513,658,1278,436
373,,581,513,658,1281,439
373,,581,514,661,1288,440
374,,582,514,663,1294,441
375,,583,515,665,1296,442
376,,584,515,670,1297,444
376,,587,516,671,1307,445
376,,587,516,672,1311,445
376,,590,517,673,1317,445
377,,591,518,673,1327,445
378,,594,518,673,1341,446
379,,595,518,674,1354,447
379,,596,519,674,1358,449
382,,597,519,677,1375,450
382,,599,520,678,1398,450
382,,600,520,683,1401,451
382,,600,521,684,1408,452
383,,605,522,686,1411,452
383,,605,526,688,1427,452
383,,605,527,691,1436,453
384,,607,527,691,1437,454
384,,607,528,693,1443,456
384,,607,529,696,1453,457
385,,608,529,697,1458,459
386,,608,531,698,1471,460
387,,608,531,701,1503,461
388,,609,533,703,1509,462
388,,610,534,709,1536,462
389,,617,535,709,1536,462
390,,617,535,712,1594,463
391,,619,536,713,1643,464
391,,619,536,713,1649,465
395,,621,537,715,1674,466
396,,621,537,717,1680,466
397,,623,537,719,1736,466
397,,626,538,720,1741,466
397,,629,539,722,1757,468
397,,629,539,722,1767,470
397,,629,540,726,1768,471
397,,629,541,729,1784,471
398,,630,541,732,1793,472
398,,630,543,732,1834,472
399,,630,543,733,1840,472
400,,632,546,733,1844,473
402,,633,546,734,1862,474
402,,639,546,734,1887,475
402,,639,546,740,1913,476
402,,642,546,740,1961,477
402,,645,547,741,1966,478
403,,645,550,742,2054,479
403,,647,553,742,2060,479
403,,648,554,744,2104,479
403,,648,555,745,2145,480
403,,649,555,748,2301,480
405,,652,556,750,2463,480
406,,653,556,750,2682,480
406,,655,556,753,2806,480
409,,658,556,754,2875,481
409,,659,559,755,,481
409,,660,561,757,,481
409,,665,561,758,,482
411,,667,561,758,,482
412,,672,561,758,,482
414,,679,562,759,,486
415,,680,563,759,,486
416,,682,565,761,,486
416,,682,566,763,,486
417,,683,566,764,,487
418,,683,566,764,,488
418,,683,568,767,,489
419,,684,568,769,,490
419,,684,569,769,,491
420,,685,570,770,,491
420,,688,572,772,,491
421,,688,572,772,,493
421,,695,574,781,,495
423,,696,575,784,,495
424,,698,576,784,,496
426,,698,577,787,,497
426,,699,577,790,,498
426,,701,578,790,,498
427,,705,580,791,,500
428,,718,581,793,,500
428,,721,586,795,,502
430,,721,586,797,,503
430,,721,586,799,,503
430,,724,587,802,,504
430,,725,587,803,,505
431,,725,587,807,,507
433,,731,588,807,,508
436,,735,589,807,,510
438,,745,589,811,,511
445,,751,591,812,,512
445,,752,592,819,,512
446,,755,592,821,,514
446,,764,593,821,,515
446,,766,593,822,,515
448,,770,596,822,,516
449,,771,597,825,,516
449,,774,600,826,,517
450,,774,603,828,,519
450,,774,603,829,,520
451,,776,604,831,,520
451,,777,605,835,,523
451,,786,605,836,,524
451,,787,605,840,,525
451,,797,606,854,,526
453,,800,607,855,,527
454,,802,607,866,,528
455,,808,608,869,,528
456,,810,608,872,,529
456,,810,610,873,,529
456,,811,610,875,,530
457,,814,610,877,,530
458,,814,611,882,,530
458,,818,611,882,,532
459,,832,612,885,,532
459,,835,612,887,,533
459,,836,612,887,,534
461,,846,613,887,,535
462,,848,614,889,,535
463,,851,615,896,,537
464,,853,617,897,,538
466,,859,617,900,,538
466,,866,619,900,,538
467,,868,619,900,,538
468,,872,620,901,,538
470,,876,620,901,,539
473,,881,621,906,,539
473,,890,621,907,,541
474,,907,621,907,,543
474,,912,623,908,,544
474,,921,623,909,,545
476,,928,624,910,,546
476,,938,625,915,,546
478,,942,627,917,,547
478,,960,628,917,,547
479,,964,628,919,,548
479,,971,629,921,,549
479,,975,629,927,,551
480,,991,629,929,,551
481,,998,631,933,,552
482,,1019,631,933,,553
482,,1028,634,937,,553
482,,1052,637,937,,555
483,,1054,637,940,,558
484,,1055,638,947,,560
484,,1067,640,951,,561
484,,1075,641,952,,561
